Area,Bedrooms,Bathrooms,Floors,Age,Parking,City,HasGarden,HasPool,Furnished,DistanceToCenter_km,CrimeIndex,SchoolScore,Price
101.0,1.0,1.0,3.0,13.0,3.0,Isfahan,1.0,0.0,,3.9,5.9,6.4,199340
226.0,3.0,3.0,1.0,28.0,,Shiraz,1.0,1.0,0.0,21.1,3.0,4.6,259138
364.0,7.0,5.0,4.0,28.0,3.0,Tabriz,1.0,0.0,1.0,23.8,3.8,8.8,512993
154.0,4.0,4.0,3.0,11.0,0.0,Tabriz,0.0,0.0,1.0,13.0,8.4,7.5,160109
120.0,2.0,2.0,3.0,34.0,0.0,Mashhad,1.0,0.0,0.0,28.4,8.6,5.0,300000
111.0,3.0,2.0,3.0,31.0,1.0,Qom,1.0,0.0,1.0,7.8,8.9,,154894
326.0,7.0,5.0,1.0,18.0,3.0,Isfahan,0.0,0.0,0.0,15.8,9.3,6.7,519668
285.0,,5.0,3.0,37.0,0.0,Karaj,0.0,0.0,0.0,31.9,9.6,6.9,281494
50.0,2.0,2.0,4.0,32.0,0.0,Rasht,0.0,0.0,0.0,22.2,2.1,9.8,100000
104.0,1.0,,3.0,42.0,3.0,Tabriz,0.0,0.0,1.0,22.6,5.2,5.4,100000
48.0,1.0,1.0,2.0,5.0,0.0,Qom,0.0,0.0,0.0,2.3,4.7,8.0,100000
213.0,3.0,2.0,3.0,20.0,1.0,Rasht,1.0,1.0,1.0,6.8,8.0,7.1,442936
216.0,5.0,5.0,2.0,38.0,0.0,Rasht,0.0,1.0,1.0,3.3,9.3,5.5,270950
270.0,6.0,5.0,1.0,0.0,1.0,Isfahan,0.0,0.0,0.0,24.4,6.4,8.6,424371
252.0,4.0,4.0,4.0,14.0,0.0,Shiraz,,0.0,1.0,7.3,8.9,6.3,478671
325.0,6.0,5.0,2.0,12.0,0.0,Qom,0.0,1.0,0.0,10.5,1.9,5.2,488235
155.0,3.0,3.0,3.0,35.0,1.0,Rasht,0.0,0.0,0.0,15.5,2.2,4.2,100000
315.0,7.0,5.0,2.0,23.0,3.0,Tabriz,0.0,1.0,0.0,26.4,5.2,9.8,465968
329.0,7.0,5.0,2.0,9.0,3.0,Mashhad,0.0,0.0,1.0,19.7,6.8,8.6,594012
267.0,5.0,5.0,1.0,21.0,2.0,Tabriz,0.0,0.0,0.0,14.5,9.0,8.3,333984
294.0,5.0,5.0,4.0,43.0,1.0,Rasht,0.0,0.0,0.0,21.2,3.2,9.2,332886
126.0,1.0,2.0,4.0,36.0,3.0,Isfahan,1.0,0.0,1.0,19.8,4.5,5.2,138718
342.0,6.0,5.0,1.0,44.0,1.0,Shiraz,,0.0,1.0,17.6,4.7,10.0,387141
358.0,6.0,5.0,4.0,13.0,1.0,Rasht,1.0,0.0,0.0,18.4,8.1,7.1,427988
,4.0,5.0,4.0,8.0,2.0,Qom,0.0,1.0,0.0,10.3,9.1,8.3,506740
73.0,1.0,1.0,4.0,6.0,1.0,Shiraz,1.0,0.0,0.0,33.8,9.9,9.7,100000
107.0,3.0,2.0,3.0,26.0,1.0,Karaj,1.0,1.0,1.0,34.1,8.4,7.9,160139
105.0,1.0,1.0,4.0,20.0,0.0,Isfahan,0.0,0.0,0.0,3.5,4.5,6.3,100000
105.0,3.0,3.0,1.0,44.0,1.0,Tabriz,0.0,0.0,1.0,,8.1,7.1,100000
184.0,4.0,,4.0,26.0,3.0,Shiraz,1.0,0.0,0.0,5.2,4.3,8.9,376762
78.0,1.0,1.0,1.0,22.0,0.0,Rasht,1.0,0.0,0.0,19.1,7.1,6.9,100000
387.0,7.0,5.0,3.0,11.0,3.0,Karaj,0.0,0.0,0.0,30.3,2.9,4.4,590711
375.0,7.0,5.0,3.0,44.0,0.0,Shiraz,0.0,1.0,0.0,11.1,5.1,7.3,505650
267.0,5.0,5.0,2.0,19.0,2.0,Tabriz,0.0,0.0,0.0,10.0,4.8,7.9,348985
270.0,4.0,4.0,4.0,16.0,0.0,Isfahan,1.0,0.0,1.0,1.3,7.4,6.6,354007
352.0,7.0,5.0,1.0,45.0,2.0,Tabriz,1.0,0.0,0.0,12.8,9.8,9.5,354866
280.0,6.0,5.0,1.0,19.0,0.0,Isfahan,0.0,0.0,0.0,32.6,3.6,5.9,336471
388.0,6.0,5.0,3.0,14.0,0.0,Qom,1.0,0.0,,16.8,5.3,4.9,434823
349.0,5.0,4.0,2.0,5.0,1.0,Karaj,0.0,0.0,0.0,19.9,3.6,8.3,571516
100.0,3.0,4.0,4.0,13.0,2.0,Tabriz,0.0,0.0,1.0,33.0,9.1,5.7,100000
165.0,3.0,2.0,2.0,15.0,2.0,Qom,1.0,0.0,1.0,1.1,2.1,8.0,293285
97.0,2.0,2.0,2.0,6.0,2.0,Tabriz,0.0,0.0,0.0,0.9,10.0,7.4,189826
291.0,5.0,5.0,1.0,4.0,3.0,Shiraz,0.0,0.0,0.0,20.0,8.2,4.4,422385
159.0,,3.0,3.0,1.0,3.0,Qom,1.0,0.0,1.0,5.5,7.5,6.6,350537
119.0,3.0,3.0,3.0,11.0,2.0,Isfahan,0.0,0.0,1.0,23.7,3.8,8.2,148074
299.0,4.0,5.0,4.0,2.0,1.0,Tehran,0.0,1.0,0.0,3.9,1.3,7.2,952936
109.0,1.0,1.0,4.0,45.0,3.0,Karaj,0.0,,1.0,17.6,6.5,4.5,100000
407.0,7.0,5.0,3.0,11.0,1.0,Mashhad,0.0,0.0,0.0,15.7,5.5,4.3,652089
246.0,4.0,3.0,2.0,20.0,0.0,Qom,0.0,0.0,1.0,31.0,5.6,9.5,161940
261.0,5.0,5.0,3.0,32.0,0.0,Mashhad,1.0,0.0,0.0,20.3,5.0,5.3,331869
192.0,4.0,4.0,1.0,21.0,0.0,Rasht,0.0,0.0,1.0,18.2,6.6,,191544
257.0,6.0,5.0,3.0,23.0,1.0,Karaj,1.0,0.0,1.0,34.8,1.4,4.1,367298
55.0,1.0,1.0,3.0,28.0,0.0,Shiraz,0.0,0.0,0.0,30.5,3.0,9.9,100000
355.0,7.0,5.0,1.0,2.0,1.0,Shiraz,1.0,0.0,1.0,23.5,2.9,4.6,503799
148.0,4.0,4.0,4.0,12.0,0.0,Rasht,0.0,0.0,1.0,7.4,4.0,7.0,251975
352.0,7.0,5.0,2.0,42.0,0.0,Shiraz,1.0,0.0,0.0,12.9,7.9,5.3,437252
190.0,4.0,3.0,4.0,18.0,3.0,Tehran,0.0,1.0,0.0,29.9,5.3,4.6,325101
131.0,2.0,2.0,3.0,22.0,1.0,Tabriz,1.0,0.0,1.0,21.8,8.5,5.0,100000
104.0,2.0,2.0,2.0,36.0,0.0,Rasht,0.0,0.0,0.0,11.3,7.2,9.6,100000
141.0,3.0,4.0,1.0,0.0,0.0,Rasht,0.0,1.0,1.0,30.3,1.4,7.3,255159
157.0,3.0,2.0,1.0,33.0,2.0,Tabriz,0.0,0.0,0.0,26.7,5.4,9.4,100000
292.0,6.0,5.0,2.0,30.0,1.0,Tehran,0.0,0.0,1.0,29.6,2.4,4.3,506151
282.0,5.0,5.0,4.0,10.0,3.0,Shiraz,0.0,0.0,1.0,31.0,1.0,5.5,388449
91.0,3.0,3.0,1.0,24.0,3.0,Mashhad,0.0,0.0,0.0,33.8,5.5,4.1,100000
154.0,2.0,3.0,2.0,38.0,1.0,Qom,0.0,1.0,0.0,34.2,5.3,4.5,100000
201.0,4.0,4.0,4.0,30.0,2.0,Tehran,1.0,0.0,0.0,8.1,1.1,7.4,467399
192.0,2.0,1.0,2.0,17.0,3.0,Isfahan,0.0,0.0,0.0,24.0,2.4,6.1,165340
248.0,4.0,5.0,2.0,25.0,3.0,Qom,1.0,0.0,1.0,17.6,6.6,5.5,227973
286.0,5.0,5.0,2.0,20.0,1.0,Tehran,1.0,0.0,0.0,6.1,3.3,4.8,704002
413.0,7.0,5.0,4.0,0.0,2.0,Karaj,0.0,0.0,1.0,21.3,7.7,7.9,709798
161.0,3.0,3.0,2.0,24.0,0.0,Tabriz,0.0,1.0,1.0,3.0,3.6,8.0,438678
410.0,6.0,5.0,2.0,10.0,0.0,Rasht,1.0,0.0,0.0,11.0,3.6,4.1,479242
268.0,6.0,5.0,2.0,23.0,2.0,Isfahan,1.0,0.0,1.0,34.3,3.0,7.8,366806
260.0,5.0,4.0,2.0,40.0,2.0,Tehran,0.0,0.0,0.0,4.5,1.2,4.0,491463
136.0,1.0,,3.0,20.0,1.0,Isfahan,1.0,0.0,1.0,1.5,3.5,9.1,332462
393.0,6.0,5.0,4.0,21.0,1.0,Tehran,0.0,0.0,,18.9,9.3,7.3,819344
397.0,7.0,5.0,3.0,20.0,1.0,Tehran,1.0,0.0,0.0,31.4,6.5,4.8,694541
240.0,4.0,4.0,1.0,28.0,2.0,Karaj,0.0,0.0,1.0,6.1,8.9,8.4,387092
296.0,4.0,5.0,2.0,42.0,3.0,Karaj,0.0,0.0,1.0,17.4,9.1,6.9,352067
103.0,3.0,4.0,4.0,35.0,3.0,Isfahan,0.0,0.0,,12.6,3.2,9.0,106579
201.0,4.0,4.0,1.0,32.0,1.0,Mashhad,1.0,0.0,1.0,10.5,5.9,7.7,380735
95.0,3.0,4.0,2.0,26.0,0.0,Isfahan,1.0,0.0,1.0,21.2,3.3,7.7,122977
402.0,7.0,5.0,3.0,33.0,1.0,Tabriz,0.0,0.0,1.0,20.3,8.2,7.9,420789
267.0,5.0,5.0,3.0,23.0,1.0,Isfahan,1.0,0.0,0.0,19.4,6.7,8.0,386534
122.0,2.0,1.0,2.0,11.0,0.0,Karaj,0.0,1.0,1.0,13.4,2.5,5.6,275224
212.0,5.0,5.0,3.0,18.0,2.0,Tehran,0.0,0.0,1.0,3.4,2.8,8.4,663062
189.0,3.0,2.0,3.0,13.0,2.0,Tabriz,0.0,0.0,1.0,18.6,8.2,8.6,230884
75.0,1.0,1.0,3.0,11.0,0.0,Isfahan,0.0,0.0,0.0,1.5,7.8,6.1,157328
293.0,4.0,4.0,3.0,12.0,3.0,Tehran,1.0,0.0,0.0,30.7,8.5,9.2,549598
153.0,2.0,1.0,1.0,21.0,3.0,Karaj,0.0,0.0,0.0,20.5,4.3,7.7,248755
236.0,3.0,3.0,4.0,8.0,3.0,Mashhad,0.0,0.0,1.0,12.6,5.1,9.0,349182
327.0,5.0,5.0,4.0,7.0,3.0,Karaj,0.0,0.0,1.0,19.1,9.1,5.7,554266
93.0,2.0,2.0,4.0,1.0,0.0,Karaj,0.0,0.0,0.0,1.3,5.1,9.9,230869
405.0,7.0,5.0,2.0,0.0,1.0,Qom,1.0,0.0,,8.6,5.5,7.2,540611
391.0,6.0,5.0,2.0,0.0,2.0,Karaj,,0.0,1.0,22.6,1.7,7.5,689917
108.0,3.0,3.0,1.0,25.0,0.0,Qom,1.0,0.0,0.0,3.9,4.2,8.6,293740
231.0,4.0,3.0,1.0,27.0,0.0,Shiraz,0.0,0.0,0.0,26.0,7.3,6.2,255467
418.0,7.0,5.0,1.0,42.0,0.0,Qom,0.0,1.0,0.0,25.4,4.8,5.8,381606
47.0,2.0,2.0,1.0,7.0,3.0,Tabriz,0.0,0.0,,1.6,5.0,8.8,147819
137.0,3.0,3.0,4.0,27.0,1.0,Isfahan,0.0,0.0,0.0,31.9,8.0,7.8,100000
119.0,2.0,2.0,3.0,18.0,3.0,Karaj,0.0,0.0,0.0,26.4,1.6,7.0,158269
322.0,7.0,5.0,2.0,43.0,1.0,Karaj,1.0,0.0,0.0,8.4,3.2,,629947
140.0,4.0,4.0,2.0,20.0,2.0,Tabriz,0.0,0.0,0.0,13.2,9.0,9.4,157557
284.0,6.0,5.0,,40.0,3.0,Karaj,0.0,0.0,0.0,1.0,2.1,4.3,454025
,6.0,5.0,4.0,9.0,0.0,Shiraz,0.0,0.0,0.0,14.7,5.0,8.0,516957
349.0,6.0,5.0,4.0,41.0,1.0,Karaj,0.0,0.0,0.0,5.2,1.3,5.1,469545
295.0,4.0,3.0,1.0,20.0,2.0,Shiraz,1.0,0.0,0.0,16.9,8.4,6.1,417245
222.0,5.0,4.0,3.0,34.0,3.0,Qom,0.0,0.0,0.0,22.1,5.5,4.3,120697
291.0,5.0,5.0,1.0,4.0,0.0,Mashhad,0.0,0.0,1.0,4.9,1.8,8.1,516100
133.0,3.0,2.0,2.0,7.0,2.0,Rasht,0.0,0.0,1.0,25.8,2.8,9.3,161081
376.0,7.0,5.0,3.0,26.0,2.0,Rasht,0.0,0.0,0.0,2.1,5.9,9.6,565543
58.0,1.0,1.0,1.0,15.0,3.0,Shiraz,0.0,0.0,,,2.2,7.1,100000
162.0,2.0,1.0,1.0,15.0,1.0,Shiraz,0.0,0.0,1.0,2.5,8.2,8.8,242979
224.0,5.0,5.0,3.0,35.0,1.0,Tabriz,1.0,0.0,1.0,4.8,2.2,8.3,390553
301.0,4.0,4.0,2.0,35.0,1.0,Shiraz,0.0,0.0,0.0,7.0,4.9,5.8,396131
133.0,1.0,2.0,3.0,27.0,3.0,Isfahan,0.0,0.0,0.0,31.3,6.3,8.3,100000
357.0,6.0,5.0,3.0,28.0,2.0,Tabriz,0.0,0.0,0.0,34.6,4.6,7.2,263162
323.0,7.0,5.0,3.0,41.0,0.0,Tehran,0.0,0.0,0.0,7.6,3.1,7.7,648995
233.0,3.0,4.0,2.0,33.0,1.0,Qom,0.0,1.0,0.0,27.1,1.3,9.8,236899
155.0,2.0,3.0,1.0,6.0,3.0,Karaj,1.0,1.0,0.0,5.6,1.3,4.1,489431
193.0,4.0,3.0,2.0,37.0,1.0,Tehran,0.0,1.0,0.0,32.1,3.8,6.3,286586
369.0,7.0,5.0,1.0,7.0,3.0,Tehran,0.0,0.0,0.0,32.0,9.6,8.5,772685
316.0,5.0,5.0,2.0,41.0,3.0,Mashhad,0.0,0.0,1.0,5.2,1.8,8.3,564470
297.0,4.0,4.0,4.0,9.0,1.0,Tabriz,0.0,0.0,0.0,22.9,6.5,4.8,312505
388.0,7.0,5.0,1.0,33.0,2.0,Qom,1.0,0.0,0.0,19.0,3.2,9.7,446748
396.0,6.0,5.0,4.0,16.0,1.0,Tehran,1.0,1.0,0.0,3.8,5.8,7.0,1019187
306.0,5.0,4.0,1.0,18.0,3.0,Qom,0.0,0.0,0.0,27.1,4.7,7.7,317591
218.0,3.0,4.0,1.0,8.0,3.0,Rasht,0.0,0.0,0.0,6.6,2.9,8.6,374656
280.0,5.0,5.0,3.0,6.0,1.0,Tehran,0.0,0.0,1.0,2.6,8.3,5.7,671801
220.0,3.0,2.0,4.0,15.0,1.0,Rasht,1.0,0.0,0.0,6.5,2.0,7.1,331062
72.0,2.0,1.0,3.0,2.0,3.0,Shiraz,0.0,0.0,0.0,33.8,4.5,6.0,100000
122.0,3.0,4.0,2.0,36.0,2.0,Tabriz,0.0,0.0,0.0,18.3,1.8,7.8,100000
68.0,1.0,1.0,3.0,19.0,0.0,Isfahan,0.0,0.0,1.0,30.3,3.7,7.7,100000
382.0,7.0,5.0,4.0,19.0,1.0,Mashhad,1.0,1.0,0.0,13.1,4.2,7.8,643962
132.0,2.0,3.0,2.0,8.0,2.0,Rasht,1.0,0.0,0.0,12.0,6.8,9.2,318242
90.0,1.0,1.0,2.0,31.0,0.0,Tabriz,0.0,1.0,1.0,23.2,4.3,9.8,122487
204.0,3.0,2.0,4.0,41.0,3.0,Tehran,0.0,0.0,1.0,23.9,9.5,5.2,276463
194.0,3.0,3.0,,21.0,0.0,Rasht,0.0,0.0,0.0,24.4,2.2,9.8,205562
381.0,7.0,5.0,1.0,9.0,3.0,Tabriz,0.0,0.0,0.0,13.0,8.5,8.3,492222
389.0,7.0,5.0,1.0,11.0,0.0,Mashhad,0.0,0.0,0.0,19.8,5.6,8.7,585773
109.0,1.0,1.0,3.0,23.0,2.0,Mashhad,1.0,0.0,0.0,18.2,5.1,5.7,100000
209.0,4.0,3.0,2.0,0.0,2.0,Qom,0.0,0.0,0.0,8.2,7.3,6.7,267638
,3.0,3.0,1.0,,2.0,Tehran,1.0,0.0,1.0,12.2,2.9,8.3,292862
200.0,5.0,5.0,2.0,42.0,3.0,Karaj,1.0,0.0,0.0,17.1,1.3,4.8,184426
346.0,5.0,5.0,1.0,20.0,2.0,Tehran,1.0,0.0,0.0,8.0,9.8,4.7,694698
211.0,3.0,3.0,1.0,30.0,1.0,Tehran,0.0,0.0,1.0,21.9,,7.6,344579
250.0,,4.0,4.0,37.0,1.0,Qom,0.0,0.0,,20.2,1.4,7.7,307990
193.0,5.0,5.0,1.0,38.0,2.0,Qom,0.0,0.0,0.0,17.2,8.7,7.8,179064
285.0,6.0,5.0,4.0,38.0,3.0,Tabriz,1.0,0.0,0.0,25.7,2.7,9.7,300639
91.0,2.0,3.0,1.0,33.0,2.0,Karaj,0.0,0.0,0.0,10.4,6.8,9.0,142330
393.0,7.0,5.0,4.0,8.0,2.0,Shiraz,0.0,0.0,0.0,23.6,8.8,10.0,594756
352.0,6.0,5.0,1.0,43.0,2.0,Tehran,1.0,0.0,1.0,8.5,5.4,7.8,819288
378.0,7.0,5.0,1.0,29.0,0.0,Karaj,1.0,0.0,1.0,32.3,1.0,7.1,608089
205.0,,5.0,3.0,17.0,1.0,Shiraz,1.0,1.0,1.0,11.3,4.6,8.0,457698
75.0,1.0,1.0,2.0,35.0,2.0,Mashhad,1.0,0.0,1.0,15.4,8.9,7.5,100000
321.0,7.0,5.0,1.0,37.0,0.0,Shiraz,0.0,0.0,1.0,2.0,2.7,7.2,441927
137.0,3.0,4.0,4.0,10.0,1.0,Rasht,0.0,1.0,0.0,7.6,5.7,4.9,315549
311.0,7.0,5.0,4.0,40.0,1.0,Karaj,1.0,0.0,0.0,16.1,2.7,4.1,380874
58.0,2.0,2.0,4.0,12.0,,Shiraz,0.0,0.0,0.0,15.9,8.4,5.1,100000
348.0,6.0,5.0,3.0,24.0,2.0,Isfahan,1.0,0.0,1.0,20.0,6.7,5.2,518220
399.0,7.0,5.0,2.0,6.0,3.0,Tehran,0.0,0.0,1.0,15.0,9.7,9.8,930042
230.0,3.0,4.0,4.0,28.0,2.0,Karaj,1.0,0.0,0.0,24.2,2.3,5.6,142177
317.0,7.0,5.0,1.0,37.0,3.0,Shiraz,1.0,0.0,0.0,6.6,5.0,6.2,550578
192.0,2.0,2.0,1.0,,1.0,Qom,0.0,0.0,1.0,2.9,9.3,7.7,259255
107.0,2.0,,1.0,26.0,3.0,Tehran,0.0,0.0,1.0,18.7,8.1,7.6,196955
322.0,7.0,5.0,2.0,8.0,0.0,Mashhad,0.0,0.0,1.0,,4.5,10.0,553208
356.0,6.0,5.0,2.0,7.0,1.0,Mashhad,0.0,1.0,0.0,31.3,9.9,9.5,515554
282.0,6.0,5.0,3.0,36.0,2.0,Isfahan,0.0,0.0,,9.0,7.2,7.7,474542
113.0,2.0,2.0,1.0,17.0,0.0,Shiraz,1.0,0.0,1.0,13.5,9.3,8.5,100000
278.0,5.0,4.0,3.0,42.0,1.0,Tehran,1.0,0.0,1.0,14.7,3.0,9.5,661472
46.0,2.0,,4.0,37.0,1.0,Mashhad,0.0,1.0,0.0,17.5,9.6,5.0,100000
85.0,3.0,2.0,1.0,18.0,3.0,Mashhad,1.0,1.0,0.0,14.9,4.1,8.9,306362
211.0,5.0,4.0,2.0,37.0,0.0,Isfahan,0.0,0.0,0.0,25.8,1.7,9.7,299768
255.0,4.0,5.0,4.0,16.0,2.0,Tabriz,1.0,0.0,0.0,16.6,4.9,9.7,369809
232.0,5.0,5.0,2.0,27.0,2.0,Karaj,1.0,0.0,0.0,25.2,,6.1,329758
143.0,4.0,4.0,3.0,40.0,2.0,Shiraz,1.0,0.0,1.0,11.1,1.8,4.7,265923
208.0,5.0,5.0,1.0,4.0,0.0,Qom,1.0,0.0,0.0,21.4,2.4,7.4,341204
145.0,3.0,4.0,4.0,10.0,1.0,Tehran,0.0,0.0,0.0,6.2,2.0,,483807
,4.0,4.0,4.0,6.0,2.0,Tehran,0.0,0.0,1.0,20.0,1.7,10.0,517781
,4.0,4.0,3.0,12.0,1.0,Mashhad,0.0,0.0,0.0,26.3,7.9,9.7,301668
278.0,4.0,5.0,,28.0,1.0,Qom,1.0,0.0,0.0,18.9,1.4,4.8,304533
117.0,2.0,3.0,4.0,31.0,2.0,Tabriz,1.0,0.0,0.0,7.1,3.0,6.6,118041
76.0,2.0,1.0,2.0,19.0,0.0,Karaj,1.0,0.0,1.0,13.2,1.8,8.1,284044
389.0,7.0,5.0,1.0,33.0,2.0,Tehran,0.0,0.0,,27.7,4.9,6.4,804579
418.0,7.0,5.0,4.0,8.0,3.0,Shiraz,1.0,0.0,1.0,16.5,8.5,9.3,677886
350.0,5.0,5.0,1.0,6.0,2.0,Qom,0.0,0.0,1.0,4.3,3.7,9.3,591670
177.0,3.0,4.0,1.0,0.0,,Karaj,0.0,0.0,1.0,19.9,4.9,4.8,264293
404.0,7.0,5.0,1.0,22.0,1.0,Shiraz,1.0,0.0,0.0,17.4,8.1,9.8,616634
45.0,2.0,2.0,1.0,32.0,1.0,Qom,0.0,0.0,0.0,0.7,9.4,9.8,100000
153.0,2.0,2.0,1.0,4.0,3.0,Shiraz,0.0,0.0,0.0,32.7,8.4,9.3,107026
156.0,3.0,2.0,3.0,25.0,3.0,Mashhad,0.0,0.0,0.0,5.0,6.6,9.4,239798
145.0,3.0,2.0,2.0,6.0,3.0,Tehran,1.0,0.0,0.0,21.9,1.2,7.3,381579
262.0,4.0,5.0,3.0,29.0,0.0,Mashhad,1.0,0.0,0.0,24.1,1.1,7.7,380502
198.0,3.0,3.0,4.0,16.0,3.0,Tabriz,0.0,0.0,0.0,15.9,1.8,6.6,235463
137.0,2.0,1.0,3.0,6.0,3.0,Tehran,1.0,0.0,1.0,2.3,2.1,6.8,507761
373.0,7.0,5.0,3.0,39.0,2.0,Mashhad,0.0,0.0,1.0,27.4,8.6,8.8,369794
293.0,6.0,5.0,4.0,23.0,3.0,Karaj,0.0,0.0,0.0,19.9,4.4,8.7,478036
113.0,,1.0,4.0,10.0,2.0,Tabriz,0.0,0.0,1.0,15.4,4.7,6.7,137789
356.0,7.0,5.0,4.0,14.0,1.0,Tehran,1.0,0.0,1.0,16.8,4.7,4.3,830697
98.0,3.0,4.0,3.0,22.0,3.0,Tehran,1.0,1.0,1.0,29.3,5.8,8.6,255881
124.0,1.0,1.0,3.0,5.0,2.0,Shiraz,1.0,0.0,0.0,4.8,5.7,5.2,105359
341.0,6.0,5.0,3.0,21.0,1.0,Rasht,0.0,0.0,1.0,4.3,2.5,4.2,507559
141.0,3.0,3.0,1.0,6.0,3.0,Mashhad,0.0,0.0,0.0,33.4,6.2,7.3,175178
349.0,7.0,5.0,4.0,26.0,3.0,Tabriz,1.0,0.0,1.0,19.3,6.8,8.0,1600734
411.0,7.0,5.0,1.0,35.0,3.0,Tabriz,0.0,0.0,0.0,1.0,1.0,7.6,603116
331.0,7.0,5.0,2.0,31.0,1.0,Rasht,0.0,1.0,1.0,23.2,7.7,9.8,494011
247.0,5.0,5.0,3.0,6.0,2.0,Mashhad,1.0,0.0,1.0,17.5,,6.2,487892
271.0,4.0,3.0,4.0,9.0,1.0,Tehran,0.0,0.0,0.0,8.8,8.4,4.6,652988
